item_code,quantity,avg_price,date,min_temp,max_temp,log_quantity,month,sma4,time_idx,group_ids
70270,822.0,3.4614286,2018-11-01,44,84,6.7117405,11,774.5,11,0
70271,168.0,9.865833,2018-11-01,44,84,5.123964,11,147.25,11,5
20209,390.0,7.122647,2018-12-01,34,75,5.966147,12,523.5,12,1
50215,442.0,10.144167,2018-12-01,34,75,6.09131,12,542.25,12,3
70165,132.0,9.808182,2018-12-01,34,75,4.882802,12,339.5,12,2
70208,305.0,11.445,2018-12-01,34,75,5.7203116,12,254.5,12,4
70270,600.0,3.398,2018-12-01,34,75,6.3969297,12,715.0,12,0
70271,279.0,9.951538,2018-12-01,34,75,5.6312118,12,184.0,12,5
20209,622.0,7.1017776,2019-01-01,30.0,74.0,6.43294,1,538.0,13,1
50215,378.0,10.975588,2019-01-01,30.0,74.0,5.934894,1,416.75,13,3
70165,189.0,3.33,2019-01-01,30.0,74.0,1.609438,1,302.5,13,2
70208,315.0,11.768387,2019-01-01,30.0,74.0,5.7525725,1,299.25,13,4
70270,732.0,3.398,2019-01-01,30.0,74.0,6.5957804,1,747.0,13,0
70271,148.0,9.99,2019-01-01,30.0,74.0,4.9972124,1,194.25,13,5
20209,492.0,7.128,2019-02-01,34.0,77.0,6.1984787,2,523.0,14,1
50215,534.0,10.343235,2019-02-01,34.0,77.0,6.280396,2,471.75,14,3
70165,126.0,7.1745453,2019-02-01,34.0,77.0,4.836282,2,232.5,14,2
70208,288.0,10.788846,2019-02-01,34.0,77.0,5.6629605,2,318.25,14,4
70270,690.0,3.4031034,2019-02-01,34.0,77.0,6.5366917,2,711.0,14,0
70271,306.0,10.323333,2019-02-01,34.0,77.0,5.723585,2,225.25,14,5
20209,655.0,7.1260414,2019-03-01,44.0,87.0,6.4846354,3,539.75,15,1
50215,426.0,10.401786,2019-03-01,44.0,87.0,6.0544395,3,445.0,15,3
70165,380.0,9.889073,2019-03-01,44.0,87.0,5.9401712,3,206.75,15,2
70208,478.0,11.95875,2019-03-01,44.0,87.0,6.1696105,3,346.5,15,4
70270,801.0,3.51,2019-03-01,44.0,87.0,6.685861,3,705.75,15,0
70271,271.0,10.72913,2019-03-01,44.0,87.0,5.602119,3,251.0,15,5
20209,610.0,7.066304,2019-04-01,55.0,100.0,6.413459,4,594.75,16,1
50215,362.0,10.047037,2019-04-01,55.0,100.0,5.891644,4,425.0,16,3
70165,380.0,9.772609,2019-04-01,55.0,100.0,5.9401712,4,268.75,16,2
70208,262.0,11.99,2019-04-01,55.0,100.0,5.5683446,4,335.75,16,4
70270,858.0,3.4720001,2019-04-01,55.0,100.0,6.754604,4,770.25,16,0
70271,257.0,9.99,2019-04-01,55.0,100.0,5.549076,4,245.5,16,5
20209,642.0,7.08375,2019-05-01,54,100,6.464588,5,599.75,17,1
50215,285.0,10.4438095,2019-05-01,54,100,5.652489,5,401.75,17,3
70165,455.0,9.784118,2019-05-01,54,100,6.1202974,5,335.25,17,2
70208,270.0,11.890507,2019-05-01,54,100,5.598422,5,324.5,17,4
70270,978.0,3.4165,2019-05-01,54,100,6.8855095,5,831.75,17,0
70271,217.0,9.99,2019-05-01,54,100,5.379897,5,262.75,17,5
20209,492.0,7.056052,2019-06-01,72,112,6.1984787,6,599.75,18,1
50215,267.0,9.716,2019-06-01,72,112,5.587249,6,335.0,18,3
70165,252.0,9.3405,2019-06-01,72,112,5.529429,6,366.75,18,2
70208,238.0,11.748947,2019-06-01,72,112,5.4722705,6,312.0,18,4
70270,828.0,3.3775861,2019-06-01,72,112,6.719013,6,866.25,18,0
70271,237.0,10.19,2019-06-01,72,112,5.46806,6,245.5,18,5
20209,626.0,7.1302,2019-07-01,76,115,6.4393506,7,592.5,19,1
50215,276.0,9.7425,2019-07-01,76,115,5.620401,7,297.5,19,3
70165,358.0,9.74,2019-07-01,76,115,5.880533,7,361.25,19,2
70208,188.0,11.015294,2019-07-01,76,115,5.236442,7,239.5,19,4
70270,672.0,3.2808332,2019-07-01,76,115,6.510258,7,834.0,19,0
70271,184.0,10.147895,2019-07-01,76,115,5.214936,7,223.75,19,5
20209,638.0,7.0841665,2019-08-01,79,115,6.4583383,8,599.5,20,1
50215,164.0,10.520588,2019-08-01,79,115,5.0998664,8,248.0,20,3
70165,486.0,9.575,2019-08-01,79,115,6.1862087,8,387.75,20,2
70208,192.0,11.720588,2019-08-01,79,115,5.2574954,8,222.0,20,4
70270,888.0,3.3134286,2019-08-01,79,115,6.788972,8,841.5,20,0
70271,227.0,10.639999,2019-08-01,79,115,5.42495,8,216.25,20,5
20209,505.0,7.0775,2019-09-01,68,112,6.2245584,9,565.25,21,1
50215,361.0,10.287727,2019-09-01,68,112,5.888878,9,267.0,21,3
70165,274.0,9.3905,2019-09-01,68,112,5.613128,9,342.5,21,2
70208,168.0,11.918571,2019-09-01,68,112,5.123964,9,196.5,21,4
70270,928.0,3.376857,2019-09-01,68,112,6.8330317,9,829.0,21,0
70271,161.0,10.865,2019-09-01,68,112,5.081404,9,202.25,21,5
20209,661.0,6.9337735,2019-10-01,43,98,6.493754,10,607.5,22,1
50215,282.0,10.730741,2019-10-01,43,98,5.641907,10,270.75,22,3
70165,313.0,9.74,2019-10-01,43,98,5.7462034,10,357.75,22,2
70208,267.5,11.002402,2019-10-01,43,98,7.153052,10,203.875,22,4
70270,906.0,3.4144444,2019-10-01,43,98,6.809039,10,848.5,22,0
70271,245.0,10.808182,2019-10-01,43,98,5.5012584,10,204.25,22,5
20209,587.0,7.112653,2019-11-01,43,89,6.375025,11,597.75,23,1
50215,301.0,10.656667,2019-11-01,43,89,5.7071104,11,277.0,23,3
70165,413.0,9.308077,2019-11-01,43,89,6.0234475,11,371.5,23,2
70208,358.5,11.318511,2019-11-01,43,89,7.509883,11,246.5,23,4
70270,967.0,3.366842,2019-11-01,43,89,6.8741984,11,922.25,23,0
70271,246.0,10.94,2019-11-01,43,89,5.5053315,11,219.75,23,5
20209,576.0,7.142391,2019-12-01,35,75,6.3561077,12,582.25,24,1
50215,521.0,10.593333,2019-12-01,35,75,6.25575,12,366.25,24,3
70165,545.0,9.61525,2019-12-01,35,75,6.300786,12,386.25,24,2
70208,372.0,11.455652,2019-12-01,35,75,5.918894,12,291.5,24,4
70270,952.0,3.45,2019-12-01,35,75,6.858565,12,938.25,24,0
70271,391.0,9.963333,2019-12-01,35,75,5.9687076,12,260.75,24,5
20209,717.0,7.1663156,2020-01-01,38.0,76.0,6.5750756,1,635.25,25,1
50215,448.0,10.7039995,2020-01-01,38.0,76.0,6.104793,1,388.0,25,3
70165,260.0,9.767777,2020-01-01,38.0,76.0,5.560682,1,382.75,25,2
70208,478.0,11.132905,2020-01-01,38.0,76.0,6.1696105,1,369.0,25,4
70270,1126.0,3.3943903,2020-01-01,38.0,76.0,7.026427,1,987.75,25,0
70271,265.0,10.99,2020-01-01,38.0,76.0,5.57973,1,286.75,25,5
20209,599.0,7.068,2020-02-01,35.0,82.0,6.395262,2,619.75,26,1
50215,481.0,10.609736,2020-02-01,35.0,82.0,6.175867,2,437.75,26,3
70165,338.0,10.221539,2020-02-01,35.0,82.0,5.8230457,2,389.0,26,2
70208,418.0,10.730741,2020-02-01,35.0,82.0,6.0354815,2,406.625,26,4
70270,980.0,3.4535,2020-02-01,35.0,82.0,6.8875527,2,1006.25,26,0
70271,298.0,10.5975,2020-02-01,35.0,82.0,5.6970935,2,300.0,26,5
20209,693.0,6.522121,2020-03-01,47.0,86.0,5.9814143,3,646.25,27,1
50215,547.0,9.150556,2020-03-01,47.0,86.0,6.0684257,3,499.25,27,3
70165,403.66666,7.8342104,2020-03-01,47.0,86.0,5.214936,3,386.66666412353516,27,2
70208,484.0,9.59697,2020-03-01,47.0,86.0,6.061457,3,438.0,27,4
70270,971.0,3.376087,2020-03-01,47.0,86.0,6.376727,3,1007.25,27,0
70271,264.33334,9.938696,2020-03-01,47.0,86.0,4.962845,3,304.58333587646484,27,5
20209,619.5,3.9376469,2020-04-01,52.0,104.0,4.9272537,4,657.125,28,1
50215,417.0,5.7155814,2020-04-01,52.0,104.0,5.5053315,4,473.25,28,3
70165,413.5,5.128333,2020-04-01,52.0,104.0,5.9295893,4,353.79166412353516,28,2
70208,249.5,6.571346,2020-04-01,52.0,104.0,5.8777356,4,407.375,28,4
70270,783.0,3.8842857,2020-04-01,52.0,104.0,4.787492,4,965.0,28,0
70271,187.5,5.917692,2020-04-01,52.0,104.0,4.8441873,4,253.70833587646484,28,5
20209,669.0,3.8490243,2020-05-01,63,112,5.886104,5,645.125,29,1
50215,297.5,6.6812496,2020-05-01,63,112,5.42495,5,435.625,29,3
70165,531.0,5.311951,2020-05-01,63,112,5.480639,5,421.54166412353516,29,2
70208,232.5,6.6067348,2020-05-01,63,112,5.913503,5,346.0,29,4
70270,807.0,3.57375,2020-05-01,63,112,6.0402546,5,885.25,29,0
70271,189.0,6.4664173,2020-05-01,63,112,5.198497,5,234.70833587646484,29,5
20209,480.0,3.6272058,2020-06-01,72,112,6.173786,6,615.375,30,1
50215,336.0,6.397115,2020-06-01,72,112,5.817111,6,399.375,30,3
70165,418.0,5.730161,2020-06-01,72,112,6.0354815,6,441.54166412353516,30,2
70208,409.0,7.8023806,2020-06-01,72,112,6.0137153,6,343.75,30,4
70270,678.0,3.4276,2020-06-01,72,112,6.5191474,6,809.75,30,0
70271,316.0,6.531111,2020-06-01,72,112,5.755742,6,239.20833587646484,30,5
20209,358.0,3.7649999,2020-07-01,76,118,5.880533,7,531.625,31,1
50215,237.0,7.3764286,2020-07-01,76,118,5.46806,7,321.875,31,3
70165,286.0,5.7858334,2020-07-01,76,118,5.655992,7,412.125,31,2
70208,219.0,6.794333,2020-07-01,76,118,5.389072,7,277.5,31,4
70270,384.0,3.3392856,2020-07-01,76,118,5.9506426,7,663.0,31,0
70271,163.0,7.6473074,2020-07-01,76,118,5.09375,7,213.875,31,5
20209,468.0,3.9055736,2020-08-01,77,117,6.1484685,8,493.75,32,1
50215,214.0,6.891154,2020-08-01,77,117,5.365976,8,271.125,32,3
70165,490.0,5.993846,2020-08-01,77,117,6.1944056,8,431.25,32,2
70208,320.0,7.5390906,2020-08-01,77,117,5.768321,8,295.125,32,4
70270,408.0,3.3826666,2020-08-01,77,117,6.011267,8,569.25,32,0
70271,183.0,7.287941,2020-08-01,77,117,5.209486,8,212.75,32,5
20209,433.0,6.7745943,2020-09-01,69,115,6.070738,9,434.75,33,1
50215,219.0,10.299,2020-09-01,69,115,5.389072,9,251.5,33,3
70165,572.0,7.310682,2020-09-01,69,115,6.349139,9,441.5,33,2
70208,257.0,9.209565,2020-09-01,69,115,5.549076,9,301.25,33,4
70270,684.0,3.5277777,2020-09-01,69,115,6.527958,9,538.5,33,0
70271,302.0,8.231191,2020-09-01,69,115,5.710427,9,241.0,33,5
20209,484.0,7.1757894,2020-10-01,48,107,6.182085,10,435.75,34,1
50215,417.0,10.8855,2020-10-01,48,107,6.0330863,10,271.75,34,3
70165,632.0,8.5262785,2020-10-01,48,107,6.4488893,10,495.0,34,2
70208,323.0,9.4675,2020-10-01,48,107,5.7776523,10,279.75,34,4
70270,638.0,3.5104167,2020-10-01,48,107,6.4583383,10,528.5,34,0
70271,294.0,8.9925,2020-10-01,48,107,5.68358,10,235.5,34,5
20209,372.0,7.1193547,2020-11-01,44,99,5.918894,11,439.25,35,1
50215,432.0,10.647666,2020-11-01,44,99,6.0684257,11,320.5,35,3
70165,485.0,8.71,2020-11-01,44,99,6.184149,11,544.75,35,2
70208,352.0,10.74862,2020-11-01,44,99,5.8636312,11,313.0,35,4
70270,552.0,3.5,2020-11-01,44,99,6.313548,11,570.5,35,0
70271,284.0,10.452821,2020-11-01,44,99,5.6489744,11,265.75,35,5
20209,488.0,7.005526,2020-12-01,38,80,6.1903152,12,444.25,36,1
50215,217.0,10.7699995,2020-12-01,38,80,5.379897,12,321.25,36,3
70165,644.0,9.769111,2020-12-01,38,80,6.4676986,12,583.25,36,2
70208,703.0,10.304117,2020-12-01,38,80,6.555357,12,408.75,36,4
70270,672.0,3.71875,2020-12-01,38,80,6.510258,12,636.5,36,0
70271,478.0,9.644131,2020-12-01,38,80,6.1696105,12,339.5,36,5
20209,348.0,7.0270367,2021-01-01,36.0,79.0,5.8522024,1,423.0,37,1
50215,568.0,10.342692,2021-01-01,36.0,79.0,6.3421216,1,408.5,37,3
70165,560.0,9.407,2021-01-01,36.0,79.0,6.3279366,1,580.25,37,2
70208,260.0,11.772609,2021-01-01,36.0,79.0,5.560682,1,409.5,37,4
70270,552.0,3.4375,2021-01-01,36.0,79.0,6.313548,1,603.5,37,0
70271,179.0,11.767777,2021-01-01,36.0,79.0,5.187386,1,308.75,37,5
20209,438.0,7.1155553,2021-02-01,44.0,82.0,6.082219,2,411.5,38,1
50215,279.0,12.405217,2021-02-01,44.0,82.0,5.6312118,2,374.0,38,3
