,"Type","Date","Num","Memo","Name","Item","Qty","Sales Price","Amount","Balance"
"Inventory",,,,,,,,,,""
"00-Beer & Spirits",,,,,,,,,,""
"00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",,,,,,,,,,""
,"Invoice","05/01/2015","57933","Da Vinci, Amaretto Regency","Re-Use Invoice","00-Beer & Spirits:00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",0,6.96,0.00,0.00
"Total 00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",,,,,,,0,,0.00,0.00
"00103LAI - Q3 Vdka Sen. Club (Senator's Club Vodka)",,,,,,,,,,""
,"Invoice","01/16/2015","55878","Senator's Club Vodka (CL)","Mattas Grill and Cantina","00-Beer & Spirits:00103LAI - Q3 Vdka Sen. Club (Senator's Club Vodka)",12,2.99,35.88,35.88
"Total 00103LAI - Q3 Vdka Sen. Club (Senator's Club Vodka)",,,,,,,12,,35.88,35.88
"00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",,,,,,,,,,""
,"Invoice","01/30/2015","56167","Laird Applejack 80","AJ's Fine Foods #173-Legacy","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",3,15.99,47.97,47.97
,"Invoice","04/22/2015","57710","Laird Applejack 80","AJ's Fine Foods #61-Val Vista/Mesa","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",2,15.99,31.98,79.95
,"Invoice","04/23/2015","57749","Laird Applejack 80","Rum Runner","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",3,13.96,41.88,121.83
,"Invoice","07/17/2015","59085","Laird Applejack 80","Basha's Sedona","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",6,13.96,83.76,205.59
,"Invoice","08/26/2015","59654","Laird Applejack 80 ( Use sample mini bottle)","Samples Amber","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",1,0.00,0.00,205.59
,"Invoice","08/28/2015","59700","Laird Applejack 80","Basha's Sedona","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",12,13.96,167.52,373.11
,"Invoice","10/23/2015","60714","Laird Applejack 80","AJ's Fine Foods #90-Lone Mtn","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",1,13.96,13.96,387.07
,"Invoice","10/23/2015","60742","Laird Applejack 80","Basha's Sedona","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",12,13.96,167.52,554.59
,"Invoice","10/23/2015","60747","Laird Applejack 80","Liquor Vault","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",12,13.96,167.52,722.11
,"Invoice","11/12/2015","61103","Laird Applejack 80","Rum Runner","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",12,13.96,167.52,889.63
,"Invoice","11/25/2015","61447","Laird Applejack 80","AJ's Fine Foods #90-Lone Mtn","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",6,15.99,95.94,985.57
,"Invoice","12/02/2015","61525","Laird Applejack 80","Fiesta Liquors","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",12,15.99,191.88,1177.45
,"Invoice","12/09/2015","58721","Laird Applejack 80","Beverage Place","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",12,15.99,191.88,1369.33
,"Invoice","12/11/2015","61702","Laird Applejack 80","AJ's Fine Foods #173-Legacy","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",4,15.99,63.96,1433.29
,"Invoice","12/28/2015","61997","Laird Applejack 80","Basha's Sedona","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",2,15.99,31.98,1465.27
"Total 00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",,,,,,,100,,1465.27,1465.27
"00171LAI -A3 Grappa Moletto (Moletto, Grappa di Moscato (6pk))",,,,,,,,,,""
,"Invoice","02/03/2015","56221","Moletto, Grappa di Moscato (6pk)","Cafe Monarch","00-Beer & Spirits:00171LAI -A3 Grappa Moletto (Moletto, Grappa di Moscato (6pk))",1,27.56,27.56,27.56
,"Invoice","02/11/2015","56388","Moletto, Grappa di Moscato (6pk)","Veneto Trattoria","00-Beer & Spirits:00171LAI -A3 Grappa Moletto (Moletto, Grappa di Moscato (6pk))",12,27.56,330.72,358.28
,"Invoice","02/11/2015","56388","Moletto, Grappa di Moscato (6pk)  Close Out Price","Veneto Trattoria","00-Beer & Spirits:00171LAI -A3 Grappa Moletto (Moletto, Grappa di Moscato (6pk))",4,0.00,0.00,358.28
"Total 00171LAI -A3 Grappa Moletto (Moletto, Grappa di Moscato (6pk))",,,,,,,17,,358.28,358.28
"00176MEG- UA  AKT Tequilla Repo (Hijos de Villa, AK-T Tequila Reposado 1L (6pk))",,,,,,,,,,""
,"Invoice","01/15/2015","55840","Hijos de Villa, AK-T Tequila Reposado 1L (6pk)","Beverage Depot","00-Beer & Spirits:00176MEG- UA  AKT Tequilla Repo (Hijos de Villa, AK-T Tequila Reposado 1L (6pk))",1,50.00,50.00,50.00
