,"Type","Date","Num","Memo","Name","Item","Qty","Sales Price","Amount","Balance"
"Inventory",,,,,,,,,,""
"00-Beer & Spirits",,,,,,,,,,""
"00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",,,,,,,,,,""
,"Invoice","04/29/2014","51426","Da Vinci, Amaretto Regency","Veneto Trattoria","00-Beer & Spirits:00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",2,6.96,13.92,13.92
,"Invoice","12/02/2014","54994","Da Vinci, Amaretto Regency","Veneto Trattoria","00-Beer & Spirits:00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",6,6.96,41.76,55.68
"Total 00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",,,,,,,8,,55.68,55.68
"00141LAI- TS A Brandy100 Laird (Laird Appple Brandy, 100 proof (Tucson Storage))",,,,,,,,,,""
,"Invoice","02/04/2014","49766","Laird Appple Brandy, 100 proof (Tucson Storage)","Nox","00-Beer & Spirits:00141LAI- TS A Brandy100 Laird (Laird Appple Brandy, 100 proof (Tucson Storage))",3,21.99,65.97,65.97
,"Invoice","02/20/2014","50127","Laird Appple Brandy, 100 proof (Tucson Storage)","Wilko Market","00-Beer & Spirits:00141LAI- TS A Brandy100 Laird (Laird Appple Brandy, 100 proof (Tucson Storage))",1,21.99,21.99,87.96
,"Invoice","03/06/2014","50372","Laird Appple Brandy, 100 proof (Tucson Storage)","47 Scott","00-Beer & Spirits:00141LAI- TS A Brandy100 Laird (Laird Appple Brandy, 100 proof (Tucson Storage))",8,21.99,175.92,263.88
"Total 00141LAI- TS A Brandy100 Laird (Laird Appple Brandy, 100 proof (Tucson Storage))",,,,,,,12,,263.88,263.88
"00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",,,,,,,,,,""
,"Invoice","01/08/2014","49205","Laird Apple Brandy, 100 proof","AJ's Fine Foods #61-Val Vista/Mesa","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",1,20.49,20.49,20.49
,"Invoice","01/08/2014","49206","Laird Apple Brandy, 100 proof","Top's Liquors","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",1,21.99,21.99,42.48
,"Invoice","01/09/2014","49237","Laird Apple Brandy, 100 proof","47 Scott","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",12,21.99,263.88,306.36
,"Invoice","01/24/2014","49547","Laird Apple Brandy, 100 proof","AJ's Fine Foods #118-Thompson Peak","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",1,21.99,21.99,328.35
,"Invoice","01/31/2014","49700","Laird Apple Brandy, 100 proof","Rum Runner","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",6,21.99,131.94,460.29
,"Invoice","02/13/2014","49969","Laird Apple Brandy, 100 proof","47 Scott","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",12,21.99,263.88,724.17
,"Invoice","02/13/2014","49973","Laird Apple Brandy, 100 proof","Plaza Liquors","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",3,21.99,65.97,790.14
,"Invoice","02/19/2014","50092","Laird Apple Brandy, 100 proof","AJ's Fine Foods #61-Val Vista/Mesa","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",2,21.99,43.98,834.12
,"Invoice","02/28/2014","50271","Laird Apple Brandy, 100 proof","Wilko Market","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",1,21.99,21.99,856.11
,"Invoice","03/06/2014","50346","Laird Apple Brandy, 100 proof","Reilly Craft Pizza + Drink","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",12,21.99,263.88,1119.99
,"Invoice","03/06/2014","50372","Laird Apple Brandy, 100 proof","47 Scott","00-Beer & Spirits:00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",1,21.99,21.99,1141.98
"Total 00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",,,,,,,52,,1141.98,1141.98
"00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",,,,,,,,,,""
,"Invoice","02/05/2014","49777","Laird Applejack 80","AJ's Fine Foods #87-Ray","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",2,15.99,31.98,31.98
,"Invoice","02/19/2014","50092","Laird Applejack 80","AJ's Fine Foods #61-Val Vista/Mesa","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",2,15.99,31.98,63.96
,"Invoice","02/21/2014","50118","Laird Applejack 80","AJ's Fine Foods #90-Lone Mtn","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",1,15.99,15.99,79.95
,"Invoice","03/19/2014","50644","Laird Applejack 80","Sun Devil Liquor","00-Beer & Spirits:00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",1,15.99,15.99,95.94
