,"Type","Date","Num","Memo","Name","Item","Qty","Sales Price","Amount","Balance"
"Inventory",,,,,,,,,,""
"00-Beer & Spirits",,,,,,,,,,""
"00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",,,,,,,,,,""
,"Invoice","10/27/2016","68533","Da Vinci, Amaretto Regency","Moscato Italian Restaurant","00-Beer & Spirits:00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",26,6.99,181.74,181.74
"Total 00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",,,,,,,26,,181.74,181.74
"00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",,,,,,,,,,""
,"Invoice","01/13/2016","62383","Casino Azul, Tequila Blanco","Total Wine 1004","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",6,29.95,179.70,179.70
,"Invoice","01/13/2016","62384","Casino Azul, Tequila Blanco","Total Wine 1005","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",12,29.95,359.40,539.10
,"Invoice","01/13/2016","62385","Casino Azul, Tequila Blanco","Total Wine 1006","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",6,29.95,179.70,718.80
,"Invoice","01/13/2016","62386","Casino Azul, Tequila Blanco","Total Wine 1007","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",12,29.95,359.40,1078.20
,"Invoice","01/13/2016","62394","Casino Azul, Tequila Blanco","Quick N Shine Carwash","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",1,29.95,29.95,1108.15
,"Invoice","01/14/2016","62379","Casino Azul, Tequila Blanco","Total Wine 1009","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",12,29.95,359.40,1467.55
,"Invoice","01/14/2016","62380","Casino Azul, Tequila Blanco","Total Wine 1001","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",6,29.95,179.70,1647.25
,"Invoice","01/14/2016","62381","Casino Azul, Tequila Blanco","Total Wine 1002","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",12,29.95,359.40,2006.65
,"Invoice","01/14/2016","62382","Casino Azul, Tequila Blanco","Total Wine 1003","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",6,29.95,179.70,2186.35
,"Invoice","02/03/2016","63712","Casino Azul, Tequila Blanco","Liquor Square","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",1,29.95,29.95,2216.30
,"Invoice","02/10/2016","63882","Casino Azul, Tequila Blanco","Total Wine 1010 - Tempe","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",3,29.95,89.85,2306.15
,"Invoice","02/10/2016","63887","Casino Azul, Tequila Blanco","Total Wine 1003","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",6,29.95,179.70,2485.85
,"Invoice","02/11/2016","63888","Casino Azul, Tequila Blanco","Total Wine 1006","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",6,29.95,179.70,2665.55
,"Invoice","02/17/2016","64009","Casino Azul, Tequila Blanco","Quick N Shine Carwash","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",1,29.95,29.95,2695.50
,"Invoice","02/22/2016","64161","Casino Azul, Tequila Blanco","Samples Consuelo","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",1,0.00,0.00,2695.50
,"Invoice","03/09/2016","64482","Casino Azul, Tequila Blanco","Liquor Square","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",1,29.95,29.95,2725.45
,"Invoice","03/10/2016","64500","Casino Azul, Tequila Blanco","Total Wine 1004","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",6,29.95,179.70,2905.15
,"Invoice","03/10/2016","64501","Casino Azul, Tequila Blanco","Total Wine 1010 - Tempe","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",1,29.95,29.95,2935.10
,"Invoice","03/10/2016","64507","Casino Azul, Tequila Blanco","Total Wine 1001","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",6,29.95,179.70,3114.80
,"Invoice","05/19/2016","65878","Casino Azul, Tequila Blanco","Total Wine 1010 - Tempe","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",1,29.95,29.95,3144.75
,"Invoice","05/20/2016","65877","Casino Azul, Tequila Blanco","Total Wine 1005","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",2,29.95,59.90,3204.65
,"Invoice","07/13/2016","66758","Casino Azul, Tequila Blanco","Total Wine 1005","00-Beer & Spirits:00177USA - R2 Casino Azul Blanc (Casino Azul, Tequila Blanco)",3,29.95,89.85,3294.50
